Timestamp,Station,Anello,Progressiva
2017-06-05 03:41,3508.841552734,36,3511.023925781
2017-06-05 14:48,3511.023925781,37,3513.265625
2017-06-06 15:14,3513.265625,38,3515.431884766
2017-06-07 05:47,3515.431884766,39,3517.674072266
2017-06-07 10:19,3517.674072266,40,3519.859863281
2017-06-07 13:56,3519.859863281,41,3522.008789062
2017-06-07 17:20,3522.008789062,42,3524.236328125
2017-06-07 22:34,3524.236328125,43,3526.364013672
2017-06-08 01:18,3526.364013672,44,3528.579101562
2017-06-08 09:50,3528.579101562,45,3530.874511719
2017-06-08 15:18,3530.874511719,46,3533.028564453
2017-06-08 19:25,3533.028564453,47,3535.250976562
2017-06-09 00:48,3535.256103516,48,3537.476074219
2017-06-13 16:06,3537.476074219,49,3539.657226562
2017-06-14 16:14,3539.657226562,50,3541.852050781
2017-06-15 00:48,3541.852050781,51,3544.267822266
2017-06-15 05:13,3544.267822266,52,3546.211669922
2017-06-15 13:57,3546.211669922,53,3548.393554688
2017-06-15 18:37,3548.393554688,54,3550.634521484
2017-06-15 22:19,3550.634521484,55,3552.796875
2017-06-16 04:02,3552.796875,56,3555.034667969
2017-06-16 08:24,3555.034667969,57,3557.228271484
2017-06-16 14:05,3557.228271484,58,3559.388427734
2017-06-16 17:56,3559.388427734,59,3561.624511719
2017-06-16 21:17,3561.624511719,60,3563.882324219
2017-06-17 03:38,3563.882324219,61,3565.989746094
2017-06-17 19:24,3565.989746094,62,3568.276367188
2017-06-17 22:51,3568.276367188,63,3570.500244141
2017-06-18 02:32,3570.500244141,64,3572.684082031
2017-06-18 06:03,3572.684082031,65,3574.8203125
2017-06-18 10:42,3574.8203125,66,3577.018554688
2017-06-18 16:31,3577.018554688,67,3579.260009766
2017-06-18 23:09,3579.260009766,68,3581.431396484
2017-06-19 01:59,3581.431396484,69,3583.606689453
2017-06-19 04:49,3583.606689453,70,3585.864990234
2017-07-07 23:46,3585.864990234,71,3587.992675781
2017-07-08 10:16,3587.992675781,72,3590.184570312
2017-07-08 14:57,3590.184570312,73,3592.41796875
2017-07-08 19:04,3592.41796875,74,3594.627197266
2017-07-08 23:31,3594.627197266,75,3596.789306641
2017-07-09 06:54,3596.789306641,76,3598.982910156
2017-07-09 13:12,3598.982910156,77,3601.170898438
2017-07-09 16:52,3601.170898438,78,3603.666259766
2017-07-09 22:16,3603.666259766,79,3605.56640625
2017-07-10 04:07,3605.56640625,80,3607.770019531
2017-07-10 16:04,3607.770019531,81,3609.949707031
2017-07-10 22:00,3609.950439453,82,3612.269042969
2017-07-11 02:35,3612.269042969,83,3614.883300781
2017-07-11 07:23,3614.883300781,84,3616.597900391
2017-07-11 21:43,3616.597900391,85,3618.849609375
2017-07-12 01:54,3618.849609375,86,3621.014404297
2017-07-12 05:09,3621.014892578,87,3623.218261719
2017-07-12 11:16,3623.218261719,88,3625.427978516
2017-07-12 15:15,3625.427978516,89,3627.594238281
2017-07-12 20:31,3627.594238281,90,3629.848876953
2017-07-13 00:34,3629.848876953,91,3631.987548828
2017-07-13 07:52,3631.987548828,92,3634.764404297
2017-07-13 11:57,3634.767822266,93,3636.401367188
2017-07-13 15:01,3636.401367188,94,3638.599609375
2017-07-13 18:45,3638.599609375,95,3640.797119141
2017-07-14 09:37,3640.797119141,96,3642.300292969
2017-07-17 02:28,3642.960693359,97,3645.172607422
2017-07-17 06:44,3645.172607422,98,3647.366699219
2017-07-17 10:15,3647.366699219,99,3649.562744141
2017-07-17 14:29,3649.562744141,100,3651.859375
2017-07-17 18:08,3651.859375,101,3654.021484375
2017-07-17 21:27,3654.021484375,102,3656.134277344
2017-07-18 02:45,3656.134277344,103,3658.354003906
2017-07-18 06:46,3658.354003906,104,3660.578613281
2017-07-18 11:18,3660.578613281,105,3664.130371094
2017-07-18 17:01,3664.130371094,106,3665.043457031
2017-07-18 19:39,3665.043457031,107,3667.212158203
2017-07-18 22:40,3667.212158203,108,3669.375976562
2017-07-19 03:27,3669.375976562,109,3671.583740234
2017-07-19 07:51,3671.583740234,110,3673.778808594
2017-07-19 12:03,3673.778808594,111,3676.035400391
2017-07-19 15:43,3676.035400391,112,3678.262939453
